Animal Id,Lab ID,Average OD,Erysip.,sample type,UCID,Species,Herd,Area,Location,Year,Date,Month,Season,Age ,Sex,plate,
G. Williams,Mx-414-140,0.538,positive,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Hardesty,Mx-414-141,0.238,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Hooker,Mx-414-142,0.073,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Mathlaw,Mx-414-143,0.125,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Paton,Mx-414-144,0.322,positive,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Robertson,Mx-414-145,0.031,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Shaft,Mx-414-146,0.25,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Shaving,Mx-414-147,0.019,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Van Diver,Mx-414-148,0.217,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
VanVeenen ,Mx-414-149,0.235,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Williams,Mx-414-150,0.254,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
43,Mx-414-151,0.074,negative,serum,414,muskox,,California Lake,22E,1982,23-Jun-82,6,Summer,,,43,
61,Mx-414-152,0.16,negative,serum,414,muskox,,Nuluk River,22E,1982,23-Jun-82,6,Summer,,,43,
62,Mx-414-153,0.096,negative,serum,414,muskox,,Nuluk River,22E,1982,23-Jun-82,6,Summer,,,43,
100,Mx-414-154,0.061,negative,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,F,43,
100,Mx-414-155,0.067,negative,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,M,43,
202,Mx-414-156,0.082,negative,serum,414,muskox,,Unalakleet,22A,1982,,,,,M,43,
63,Mx-414-157,0.106,negative,serum,414,muskox,,W Nuluk Rv,22E,1982,22-Jun-82,6,Summer,,,43,
70,Mx-414-158,0.859,positive,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,M,43,
76,Mx-414-159,0.492,positive,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,M,43,
84,Mx-414-160,0.256,negative,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,F,43,
85,Mx-414-161,0.661,positive,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,M,43,
98,Mx-414-162,0.162,negative,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,F,43,
Brown,Mx-414-163,0.175,negative,serum,414,muskox,,,UAF,1982,01-Jan-81,1,Winter,,,43,
Nuna,Mx-414-164,0.196,negative,serum,414,muskox,,,UAF,1982,01-Jan-81,1,Winter,,,43,
64,Mx-414-188,0.058,negative,serum,414,muskox,,Pinguk R,22E,1982,23-Jun-82,6,Summer,,,44,
65,Mx-414-189,0.072,negative,serum,414,muskox,,Pinguk R,22E,1982,23-Jun-82,6,Summer,,,44,
2,Mx-414-165,0.121,negative,serum,414,muskox,,Upper Nuluk R,22E,1983,18-Oct-82,10,Fall,,,43,
3,Mx-414-166,0.176,negative,serum,414,muskox,,Upper Nuluk R,22E,1983,18-Oct-82,10,Fall,,,43,
8,Mx-414-169,0.091,negative,serum,414,muskox,,Pinguk R,22E,1983,18-Oct-83,10,Fall,,,43,
11,Mx-414-170,0.473,positive,serum,414,muskox,,Pinguk R,22E,1983,27-Oct-83,10,Fall,,,43,
14,Mx-414-171,0.214,negative,serum,414,muskox,,Pinguk R,22E,1983,18-Oct-83,10,Fall,,,43,
Brown,Mx-414-190,0.094,negative,serum,414,muskox,,Fairbanks,UAF,1983,09-Mar-83,3,Spring,,,44,
Cox,Mx-414-191,0.084,negative,serum,414,muskox,,Nunivak Is.,18,1983,07-Mar-83,3,Spring,,,44,
Davis,Mx-414-192,0.083,negative,serum,414,muskox,,Nunivak Is.,18,1983,05-Mar-83,3,Spring,,,44,
Mx Greg,Mx-414-193,0.191,negative,serum,414,muskox,,,,1983,,,,,,44,
Mx Widby,Mx-414-196,0.135,negative,serum,414,muskox,,,,1983,,,,,,44,
Mx Wilson,Mx-414-197,0.374,positive,serum,414,muskox,,,,1983,,,,,,44,
4,Mx-414-167,0.065,negative,serum,414,muskox,,Nunivak Is.,18,1984,17-Feb-84,2,Winter,,,43,
7,Mx-414-168,0.123,negative,serum,414,muskox,,Nunivak Is.,18,1984,18-Feb-84,2,Winter,,,43,
14,Mx-414-172,0.187,negative,serum,414,muskox,,Pinguk R,22E,1984,18-Feb-84,2,Winter,,,43,
18,Mx-414-173,0.201,negative,serum,414,muskox,,Nunivak Is.,18,1984,18-Feb-84,2,Winter,,,43,
19,Mx-414-174,0.003,negative,serum,414,muskox,,Nunivak Is.,18,1984,18-Feb-84,2,Winter,,,43,
22,Mx-414-175,0.069,negative,serum,414,muskox,,Nunivak Is.,18,1984,19-Feb-84,2,Winter,,,43,
27,Mx-414-176,0.101,negative,serum,414,muskox,,Nunivak Is.,18,1984,18-Feb-84,2,Winter,,,43,
28,Mx-414-177,0.562,positive,serum,414,muskox,,Nunivak Is.,18,1984,19-Feb-84,2,Winter,,,44,
Mx Nels 47,Mx-414-194,2.737,high positive,serum,414,muskox,,,,1984,,,,,,44,
Mx Warbelow,Mx-414-195,0.014,negative,serum,414,muskox,,,,1984,,,,,,44,
ANWR 5,Mx-414-231,0.126,negative,serum,414,muskox,,,,1984,,,,,,45,
ANWR 6,Mx-414-232,0.177,negative,serum,414,muskox,,,,1984,,,,,,45,
31,Mx-414-178,0.332,positive,serum,414,muskox,,Cape Thom.,23,1986,12-Sep-86,9,Fall,,,44,
32,Mx-414-179,0.295,positive,serum,414,muskox,,Cape Thom.,23,1986,12-Sep-86,9,Fall,,,44,
SP-41,Mx-414-181,0.06,negative,serum,414,muskox,,Sewards Pen,22,1986,21-Mar-86,3,Spring,,,44,
SP-45,Mx-414-182,0.051,negative,serum,414,muskox,,Hot Spring,22,1986,21-Mar-86,3,Spring,,,44,
46,Mx-414-183,0.133,negative,serum,414,muskox,,Nunivak Is.,18,1986,10-Feb-86,2,Winter,,,44,
47,Mx-414-184,0.171,negative,serum,414,muskox,,Nunivak Is.,18,1986,02-Jan-86,1,Winter,,,44,
49,Mx-414-185,0.189,negative,serum,414,muskox,,Nunivak Is.,18,1986,22-Feb-86,2,Winter,,,44,
55,Mx-414-186,0.212,negative,serum,414,muskox,,Nunivak Is.,18,1986,08-Feb-86,2,Winter,,,44,
56,Mx-414-187,0.106,negative,serum,414,muskox,,Nunivak Is.,18,1986,08-Feb-86,2,Winter,,,44,
34,Mx-414-180,0.069,negative,serum,414,muskox,,Sewards Pen,,1987,,,,,,44,
SP-39,Mx-414-202,0.103,negative,serum,414,muskox,,,,1987,,,,,,44,
SP-51,Mx-414-206,0.206,negative,serum,414,muskox,,,,1987,,,,,,44,
SP-56,Mx-414-207,0.047,negative,serum,414,muskox,,,,1987,,,,,,44,
SP-57,Mx-414-208,0.02,negative,serum,414,muskox,,,,1987,,,,,,44,
SP-01,Mx-414-198,0.08,negative,serum,414,muskox,,,,1988,,,,,,44,
SP-07,Mx-414-199,0.132,negative,serum,414,muskox,,,,1988,,,,,,44,
SP-12,Mx-414-200,0.092,negative,serum,414,muskox,,,,1988,,,,,,44,
26,Mx-414-201,0.129,negative,serum,414,muskox,,,,1988,,,,,,44,
SP-42,Mx-414-203,0.177,negative,serum,414,muskox,,,,1988,,,,,,44,
SP-43,Mx-414-204,0.064,negative,serum,414,muskox,,,,1988,,,,,,44,
SP-45,Mx-414-205,0.306,positive,serum,414,muskox,,,,1988,,,,,,44,
S0-40,Mx-414-210,0.418,positive,serum,414,muskox,,,,1988,,,,,,44,
SP-45,Mx-414-211,0.264,positive,serum,414,muskox,,,,1988,,,,,,44,
SP-46,Mx-414-212,0.1,negative,serum,414,muskox,,,,1988,,,,,,44,
SP-47,Mx-414-213,0.174,negative,serum,414,muskox,,,,1988,,,,,,44,
SP-48,Mx-414-214,0.079,negative,serum,414,muskox,,,,1988,,,,,,44,
SP-56,Mx-414-215,0.051,negative,serum,414,muskox,,,,1988,,,,,,44,
107,Mx-414-217,0.024,negative,serum,414,muskox,,,,1988,,,,,,44,
109,Mx-414-218,0.122,negative,serum,414,muskox,,,,1988,,,,,,44,
SP-115,Mx-414-219,0.046,negative,serum,414,muskox,,,,1988,,,,,,44,
SP-116,Mx-414-220,2.758,high positive,serum,414,muskox,,,,1988,,,,,,44,
SP-120,Mx-414-221,0.129,negative,serum,414,muskox,,,,1988,,,,,,45,
SP-121,Mx-414-222,0.22,negative,serum,414,muskox,,,,1988,,,,,,45,
SP-130,Mx-414-223,0.246,negative,serum,414,muskox,,,,1988,,,,,,45,
131,Mx-414-224,0.089,negative,serum,414,muskox,,,,1988,,,,,,45,
SP-122/123,Mx-414-225,0.172,negative,serum,414,muskox,,,,1988,,,,,,45,
36,Mx-414-236,0.068,negative,serum,414,muskox,,,,1988,,,,,,45,
41,Mx-414-237,0.083,negative,serum,414,muskox,,,,1988,,,,,,45,
55,Mx-414-242,0.074,negative,serum,414,muskox,,,,1988,,,,,,45,
57,Mx-414-243,1.059,high positive,serum,414,muskox,,,,1988,,,,,,45,
58,Mx-414-244,0.053,negative,serum,414,muskox,,,,1988,,,,,,45,
59,Mx-414-245,0.106,negative,serum,414,muskox,,,,1988,,,,,,45,
60,Mx-414-246,0.049,negative,serum,414,muskox,,,,1988,,,,,,45,
64,Mx-414-248,0.078,negative,serum,414,muskox,,,,1988,,,,,,45,
SP-09,Mx-414-209,0.101,negative,serum,414,muskox,,,,1989,,,,,,44,
SP-12,Mx-414-226,0.061,negative,serum,414,muskox,,,,1989,,,,,,45,
SP-117,Mx-414-227,0.663,positive,serum,414,muskox,,,,1989,,,,,,45,
SP-120,Mx-414-228,0.08,negative,serum,414,muskox,,,,1989,,,,,,45,
SP-133,Mx-414-229,0.183,negative,serum,414,muskox,,,,1989,,,,,,45,
SP-134,Mx-414-230,0.312,positive,serum,414,muskox,,,,1989,,,,,,45,
22,Mx-414-235,0.078,negative,serum,414,muskox,,,,1989,,,,,,45,
52,Mx-414-238,0.089,negative,serum,414,muskox,,,,1989,,,,,,45,
53,Mx-414-239,0.958,positive,serum,414,muskox,,,,1989,,,,,,45,
54,Mx-414-240,0.058,negative,serum,414,muskox,,,,1989,,,,,,45,
54,Mx-414-241,0.125,negative,serum,414,muskox,,,,1989,,,,,,45,
62,Mx-414-247,0.15,negative,serum,414,muskox,,,,1989,,,,,,45,
64,Mx-414-249,0.132,negative,serum,414,muskox,,,,1989,,,,,,45,
65,Mx-414-250,0.197,negative,serum,414,muskox,,,,1989,,,,,,45,
67,Mx-414-251,0.201,negative,serum,414,muskox,,,,1989,,,,,,45,
68,Mx-414-252,0.065,negative,serum,414,muskox,,,,1989,,,,,,45,
SP-135,Mx-414-266,0.223,negative,serum,414,muskox,,,,1989,,,,,,46,
SP-137,Mx-414-267,0.045,negative,serum,414,muskox,,,,1989,,,,,,46,
Mx 21,Mx-414-081,0.02,negative,serum,414,muskox,,,26C,1991,,4,Spring,,,41,
Mx 73,Mx-414-082,0.029,negative,serum,414,muskox,,,26C,1991,,4,Spring,,,41,
Mx 74,Mx-414-083,0.078,negative,serum,414,muskox,,,26C,1991,,4,Spring,,,41,
Mx 77,Mx-414-084,0.077,negative,serum,414,muskox,,,26C,1991,,4,Spring,,,41,
Mx 78,Mx-414-085,0.141,negative,serum,414,muskox,,,26C,1991,,4,Spring,,,41,
Mx 79,Mx-414-086,0.027,negative,serum,414,muskox,,,26C,1991,,4,Spring,,,41,
9,Mx-414-233,0.086,negative,serum,414,muskox,,,,1991,,,,,,45,
21,Mx-414-234,0.017,negative,serum,414,muskox,,,,1991,,,,,,45,
73,Mx-414-253,0.092,negative,serum,414,muskox,,,,1991,,,,,,45,
74,Mx-414-254,0.172,negative,serum,414,muskox,,,,1991,,,,,,45,
77,Mx-414-255,0.288,positive,serum,414,muskox,,,,1991,,,,,,45,
78,Mx-414-256,0.134,negative,serum,414,muskox,,,,1991,,,,,,45,
79,Mx-414-257,0.158,negative,serum,414,muskox,,,,1991,,,,,,45,
80,Mx-414-258,1.213,high positive,serum,414,muskox,,,,1991,,,,,,45,
81,Mx-414-259,0.247,negative,serum,414,muskox,,,,1991,,,,,,45,
76,Mx-414-268,0.013,negative,serum,414,muskox,,,,1991,,,,,,46,
49,Mx-414-365,0.089,negative,serum,414,muskox,,,,1991,,,,,,48,
1991-A,285/ 1991-A,0.418,positive,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-C,285/1991-C,0.56,positive,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-D,285/1991-D,>20%-positive,repeat,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-E,285/1991-E,>20%-positive,repeat,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-G,285/1991-G,0.486,positive,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-L,285/1991-L,0.349,positive,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-M,285/1991-M,0.371,positive,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-N,285/1991-N,>20%-positive,repeat,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-O,285/1991-O,0.133,negative,serum,285,muskox,,Banks Island,,1991,,,,,,125,
Jan-91,285/1991-1,0.114,negative,serum,285,muskox,,Banks Island,,1991,,,,,,125,
Oct-91,285/1991-10,0.038,negative,serum,285,muskox,,Banks Island,,1991,,,,,,125,
Nov-91,285/1991-11,0.058,negative,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-13,285/1991-13,0.146,negative,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-14,285/1991-14,discrepant,repeat,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-16,285/1991-16,discrepant,repeat,serum,285,muskox,,Banks Island,,1991,,,,,,125,
1991-19,285/1991-19,0.43,positive,serum,285,muskox,,Banks Island,,1991,,,,,,125,
Mx 82,Mx-414-076,0.04,negative,serum,414,muskox,,,26C,1992,,4,Spring,,,41,
Mx 83,Mx-414-077,0.031,negative,serum,414,muskox,,,26C,1992,,4,Spring,,,41,
Mx 85,Mx-414-078,0.069,negative,serum,414,muskox,,,26C,1992,,4,Spring,,,41,
Mx 86,Mx-414-079,0.354,positive,serum,414,muskox,,,26C,1992,,4,Spring,,,41,
Mx 87,Mx-414-080,0.032,negative,serum,414,muskox,,,26C,1992,,4,Spring,,,41,
82,Mx-414-260,0.146,negative,serum,414,muskox,,,,1992,,,,,,45,
83,Mx-414-261,0.146,negative,serum,414,muskox,,,,1992,,,,,,45,
84,Mx-414-262,0.083,negative,serum,414,muskox,,,,1992,,,,,,45,
85,Mx-414-263,0.145,negative,serum,414,muskox,,,,1992,,,,,,45,
86,Mx-414-264,0.401,positive,serum,414,muskox,,,,1992,,,,,,45,
87,Mx-414-265,0.074,negative,serum,414,muskox,,,,1992,,,,,,46,
Mar-92,285/1992-03,0.165,negative,serum,285,,,Banks Island,,1992,,,,,,46,
Apr-92,285/1992-4,0.16,negative,serum,285,,,Banks Island,,1992,,,,,,46,
May-92,285/1992-5,0.114,negative,serum,285,,,Banks Island,,1992,,,,,,46,
Jun-92,285/1992-6,0.057,negative,serum,285,,,Banks Island,,1992,,,,,,46,
Jul-92,285/1992-7,0.033,negative,serum,285,,,Banks Island,,1992,,,,,,46,
Aug-92,285/1992-8,0.08,negative,serum,285,,,Banks Island,,1992,,,,,,46,
Sep-92,285/1992-9,discrepant,repeat,serum,285,,,Banks Island,,1992,,,,,,46,
Oct-92,285/1992-10,>20%-positive,repeat,serum,285,,,Banks Island,,1992,,,,,,46,
Nov-92,285/1992-11,0.147,negative,serum,285,,,Banks Island,,1992,,,,,,46,
Dec-92,285/1992-12,0.166,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-13,285/1992-13,0.128,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-14,285/1992-14,0.066,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-16,285/1992-16,0.098,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-17,285/1992-17,0.245,positive,serum,285,,,Banks Island,,1992,,,,,,46,
1992-18,285/1992-18,0.13,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-19,285/1992-19,discrepant,repeat,serum,285,,,Banks Island,,1992,,,,,,46,
1992-20,285/1992-20,0.131,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-21,285/1992-21,0.138,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-23,285/1992-23,0.092,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992_29,285/1992_29,0.086,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-31,285/1992-31,0.145,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-32,285/1992-32,0.009,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-33,285/1992-33,0.009,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-34,285/1992-34,0.01,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-35,285/1992-35,0.113,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-36,285/1992-36,0.087,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-39,285/1992-39,0.078,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-42,285/1992-42,0.084,negative,serum,285,,,Banks Island,,1992,,,,,,46,
1992-43,285/1992-43,0.005,negative,serum,285,,,Banks Island,,1992,,,,,,126,
1992-44,285/1992-44,0.005,negative,serum,285,,,Banks Island,,1992,,,,,,126,
1992-45,285/1992-45,0.23,negative,serum,285,,,Banks Island,,1992,,,,,,126,
1992-46,285/1992-46,0.008,negative,serum,285,,,Banks Island,,1992,,,,,,126,
1992-47,285/1992-47,0.008,negative,serum,285,,,Banks Island,,1992,,,,,,126,
1992-51,285/1992-51,0.02,negative,serum,285,,,Banks Island,,1992,,,,,,126,
1992-53,285/1992-53,0.04,negative,serum,285,,,Banks Island,,1992,,,,,,126,
1992-54,285/1992-54,0.012,negative,serum,285,,,Banks Island,,1992,,,,,,126,
1992-56,285/1992-56,0.02,negative,serum,285,,,Banks Island,,1992,,,,,,126,
1992-57,285/1992-57,0.027,negative,serum,285,,,Banks Island,,1992,,,,,,126,
Mx 116,Mx-414-072,0.204,positive,serum,414,muskox,,,26B,2000,04-Jul-00,7,Summer,,,41,
Mx 117,Mx-414-073,0.176,negative,serum,414,muskox,,,26B,2000,05-Jul-00,7,Summer,,,41,
Mx 118,Mx-414-074,2.12,high positive,serum,414,muskox,,,26B,2000,05-Jul-00,7,Summer,,,41,
Mx 49000,Mx-414-075,1.905,high positive,serum,414,muskox,,,26B,2000,,7,Summer,,,41,
Mx 115,Mx-414-087,0.706,positive,serum,414,muskox,,,26C,2000,,7,Summer,,,41,
Mx 115,Mx-414-090,0.851,positive,serum,414,muskox,,,26B,2000,,7,Summer,,,42,
115,Mx-414-269,0.623,positive,serum,414,muskox,,,,2000,,,,,,46,
116,Mx-414-270,0.223,negative,serum,414,muskox,,,,2000,,,,,,46,
117,Mx-414-271,0.295,positive,serum,414,muskox,,,,2000,,,,,,46,
118,Mx-414-272,2.376,high positive,serum,414,muskox,,,,2000,,,,,,46,
119,Mx-414-273,0.329,positive,serum,414,muskox,,,,2000,,,,,,46,
4900,Mx-414-282,2.578,high positive,serum,414,muskox,,,,2000,,,,,,46,
Mx 2001-02,Mx-414-071,0.102,negative,serum,414,muskox,,,26,2001,,6,Summer,,,41,
Mx 2001-01,Mx-414-089,0.007,negative,serum,414,muskox,,,26C,2001,,7,Summer,,.,42,
2001-002,Mx-414-289,0.137,negative,serum,414,muskox,,,26,2001,,,,Adult,F,46,
Jul-01,285/2001-07,0.179,negative,serum,285,,,Lennie River (Banks Island),,2001,,,,,,46,
Aug-01,285/2001-08,0.323,negative,serum,285,,,Lennie River (Banks Island),,2001,,,,,,46,
Sep-01,285/2001-09,0.024,negative,serum,285,,,Lennie River (Banks Island),,2001,,,,,,46,
Oct-01,285/2001-10,0.057,negative,serum,285,,,Lennie River (Banks Island),,2001,,,,,,46,
Nov-01,285/2001-11,0.064,negative,serum,285,,,Lennie River (Banks Island),,2001,,,,,,46,
Dec-01,285/2001-12,0.351,negative,serum,285,,,Lennie River (Banks Island),,2001,,,,,,46,
2001-13,285/2001-13,0.091,negative,serum,285,,,Lennie River (Banks Island),,2001,,,,,,46,
2001-14,285/2001-14,1.785,high positive,serum,285,,,Lennie River (Banks Island),,2001,,,,,,46,
2001-15,285/2001-15,0.152,negative,serum,285,,,Lennie River (Banks Island),,2001,,,,,,46,
2001-16,285/2001-16,0.929,positive,serum,285,,,Lennie River (Banks Island),,2001,,,,,,46,
1460,Mx-414-280,0.044,negative,serum,414,muskox,,,,2003,,,,,,46,
1770,Mx-414-281,2.411,high positive,serum,414,muskox,,,,2003,,,,,,46,
Mx 121,Mx-414-067,0.129,negative,serum,414,muskox,,,26C,2004,,9,Fall,Adult,F,41,
X04-02,Mx-414-068,0.108,negative,serum,414,muskox,,,26,2004,,6,Summer,Adult,F,41,
X04-03,Mx-414-069,0.061,negative,serum,414,muskox,,,26,2004,,6,Summer,Adult,F,41,
X04-04,Mx-414-070,0.062,negative,serum,414,muskox,,,26,2004,,6,Summer,Adult,F,41,
Mx 0405,Mx-414-088,0.172,negative,serum,414,muskox,,,26C,2004,,6,Summer,Adult,F,41,
122,Mx-414-096,0.061,negative,serum,414,muskox,,,26C,2004,30-Sep-04,9,Fall,,,42,
121,Mx-414-274,0.162,negative,serum,414,muskox,,,,2004,,,,,,46,
122,Mx-414-275,0.062,negative,serum,414,muskox,,,,2004,,,,,,46,
X 0402,Mx-414-290,0.184,negative,serum,414,muskox,,,,2004,,,,Adult,F,46,
X 0403,Mx-414-291,0.134,negative,serum,414,muskox,,,,2004,,,,Adult,F,46,
X 0404,Mx-414-292,0.129,negative,serum,414,muskox,,,,2004,,,,Adult,F,46,
01-May,Mx-414-065,0.023,negative,serum,414,muskox,,,26,2005,,6,Summer,Adult,F,41,
02-May,Mx-414-066,0.033,negative,serum,414,muskox,,,26,2005,,6,Summer,Adult,F,41,
501,Mx-414-276,0.067,negative,serum,414,muskox,,,,2005,,,,,,46,
01-Jun,Mx-414-060,1.019,high positive,serum,414,muskox,,,26B,2006,06-Jun-06,6,Summer,Adult,F,41,
02-Jun,Mx-414-061,0.149,negative,serum,414,muskox,,,26B,2006,06-Jun-06,6,Summer,Adult,F,41,
03-Jun,Mx-414-062,0.021,negative,serum,414,muskox,,,26B,2006,06-Jun-06,6,Summer,Adult,F,41,
04-Jun,Mx-414-063,0.145,negative,serum,414,muskox,,,26B,2006,06-Jun-06,6,Summer,Adult,F,41,
20-Jun,Mx-414-064,0.379,positive,serum,414,muskox,,,26B,2006,06-Jun-06,6,Summer,2,F,41,
603,Mx-414-277,0.056,negative,serum,414,muskox,,,,2006,,,,,,46,
